X1,X2,X3,y,X @ theta,prob,y – prob,X1 * (y – prob),X2 * (y – prob),X3 * (y – prob),,
1,0,0.098470221298084,1,0,0.5,0.5,0.5,0,0.049235110649042,0,0.098470221298084
1,0.338461538461538,0.498143472449131,0,0,0.5,-0.5,-0.5,-0.169230769230769,-0.249071736224566,0.338461538461538,0.498143472449131
1,0.240769230769231,0.090672805584435,0,0,0.5,-0.5,-0.5,-0.120384615384615,-0.045336402792218,0.240769230769231,0.090672805584435
1,0.028461538461539,0.448388534085846,0,0,0.5,-0.5,-0.5,-0.014230769230769,-0.224194267042923,0.028461538461539,0.448388534085846
1,0.336923076923077,0.114065052725382,0,0,0.5,-0.5,-0.5,-0.168461538461538,-0.057032526362691,0.336923076923077,0.114065052725382
1,0.348461538461538,0.957968216248329,0,0,0.5,-0.5,-0.5,-0.174230769230769,-0.478984108124165,0.348461538461538,0.957968216248329
1,0.177692307692308,0.102183276399822,1,0,0.5,0.5,0.5,0.088846153846154,0.051091638199911,0.177692307692308,0.102183276399822
1,0.571538461538462,1,0,0,0.5,-0.5,-0.5,-0.285769230769231,-0.5,0.571538461538462,1
1,1,0,1,0,0.5,0.5,0.5,0.5,0,1,0
1,0.567692307692308,0.951061933759097,0,0,0.5,-0.5,-0.5,-0.283846153846154,-0.475530966879548,0.567692307692308,0.951061933759097
alpha,0.416153923076923,-0.127209267785534,,,,,-2,-0.627307692307692,-1.92982325857716,0.416153923076923,-0.127209267785534
theta,,,,,,,,,,,
0,0,0,,,,,,,,,
-0.832307846153846,-0.261056557130177,-0.803103519901975,,,,,,,,,
